School
"Dr. A.P.J Abdul Kalam University, School of Management Sciences - [SMS], Varanasi"
"Ellenki College of Engineering and Technology - [ECET], Medak"
"G. Karunakaran Memorial Co-Operative College of Management and Technology, Thiruvananthapuram"
"361 Degree Minds, Chennai"
"A J Institute of Management - [AJIM], Mangalore"
"A J Institute of Management, [AJIM] Mangalore"
"A P Goyal Shimla University (AGU, Shimla) , Shimla"
"A Radiant Institute of Management and Technology - [ARIMT], Meerut"
"A Radiant Institute of Management and Technology, [ARIMT] Meerut"
"A S Patil College of Commerce, Vijayapur"
"A V V M Sri Pushpam College, [AVVMSPC] Thanjavur"
"A Veeriya Vandayar Memorial Sri Pushpam College, [AVVMSPC] Thanjavur"
"A Veeriya Vandayar Memorial Sri Pushpam College, Thanjavur"
"A. Veeriya Vandayar Memorial Sri Pushpam College (SAVVMSPC) , Thanjavur"
"A.C. Patil College of Engineering (ACPCE) , Navi Mumbai"
"A.J. College of Science and Technology, Thiruvananthapuram"
"A.J. Institute of Management (AJIM) , Mangalore"
"A.K.S. University , Madhya Pradesh - Other"
"A.M.Reddy Memorial College of Engineering and Technology , Guntur"
"A.N.A. College of Engineering and Management studies , Bareilly"
"A.Q.J. Centre for PG Studies, Anandapuram"
"A.Q.J. Centre for PG Studies, Visakhapatnam"
"A.R.J College of Engineering and Technology (ARJCET) , Tamil Nadu - Other"
"A.V. College of Arts Science and Commerce, Hyderabad"
"A.V. College of Arts, Science and Commerce , Gagan Mahal, Hyderabad"
"A.V.C College of Engineering - [AVCCE], Nagapattinam"
"A.V.C. College (Autonomous), Mayiladuthurai"
"A.V.C.College of Engineering (AVCCE) , Tamil Nadu - Other"
"A.V.V.M Sri Pushpam College, Thanjavur"
"A1 Global Institute of Engineering & Technology, Prakasam"
"Aadhavan College of Arts and Science, Alathur"
"AAFT School of Hospitality & Tourism, Noida"
"Aakash Institute of Business Management - [AIBM], Bangalore"
"Aakash Institute of Business Management , Mallathalli, Bangalore"
"Aakash Institute of Business Management, [AIBM] Bangalore"
"Aakson Group of Institutions , R.T. Nagar, Bangalore"
"Aakson Institute for Management Studies - [AIMS], Bangalore"
"Aakson Institute for Management Studies, [AIMS] Bangalore"
"Aalim Muhammed Salegh College of Engineering - [AALIMEC], Chennai"
"Aalim Muhammed Salegh College Of Engineering (AMSCE) , Avadi, Chennai"
"Aalim Muhammed Salegh College of Engineering, [AMSCE] Chennai"
"AAM Business School, Chennai"
"AAM- The Pragmatic B School , T Nagar, Chennai"
"Aarupadai Veedu Institute of Technology - [AVIT], Kanchipuram"
"Aarupadai Veedu Institute of Technology , Old Mahabalipuram Road, Chennai"
"Aarupadai Veedu Institute of Technology, [AVIT] Kanchipuram"
"Aashlar Business School, Mathura"
"AAT College , Andheri West, Mumbai"
"AAT College , Malleswaram, Bangalore"
"AAT College (AAT) , Chetpet, Chennai"
"Abacus Institute of Computer Applications - [AICA] Hadapsar, Pune"
"Abacus Institute of Computer Applications, [AICA] Pune"
"Abasaheb Garware Institute of Management Studies, [AGIMS] Sangli"
"Abasaheb Garware Institute of Management Studies, Sangli"
"AbdulKalam Institute of Technological Sciences - [AKIT], Khammam"
"Abdulkalam Institute Of Technological Sciences (AKITS) , Andhra Pradesh - Other"
"AbdulKalam Institute of Technological Sciences, [AKITS] Khammam"
"ABES Engineering College (ABESEC) , Ghaziabad"
"ABES Engineering College, [AEBSEC] Ghaziabad"
"ABES Engineering College, Ghaziabad"
"ABES Institute of Technology - [ABESIT], Ghaziabad"
"ABES Institute of Technology , Ghaziabad"
"ABES Institute of Technology, [ABESIT] Ghaziabad"
"Abhay Memorial Trust Group of Institutions , Allahabad"
"Abhayapuri College, Bongaigaon"
"Abhijit Kadam Institute of Management and Social Sciences - [AKIMSS], Solapur"
"Abhijit Kadam Institute of Management and Social Sciences Bharati Vidyapeeth (AKIMSS) , Solapur"
"Abhilashi Institute of Management Studies, Mandi"
"Abhilashi University, Mandi"
"Abhinav Education Society's College of Computer Science and Management, Pune"
"Abhinav Education Society's Institute of Management and Research - [AESIMR], Pune"
"Abhinav Education Society's Institute of Management and Research (AES's IMR) , Narhe, Pune"
"Abhinav Education Society's Institute of Management and Research, Pune"
"Abhinav Education Societys Institute of Management and Business Administration, Akole"
"Abhinav Hi-Tech College of Engineering (AHTC) , Himayat Nagar, Hyderabad"
"Abhinav Hi-Tech College of Engineering and Technology Himayathnagar, Hyderabad"
"Abhinav HiTech College of Engineering and Technology, [AHTCET] Rangareddi"
"Abhinav Institute of Technology and Management, [AITM] Aurangabad"
"Abhinav Institute of Technology and Management, [AITM] Pune"
"Abhinav Institute of Technology and Management, Aurangabad"
"Abhinav Institute of Technology and Management, Pune"
"ABIT JRD Tata Institute of Management, Cuttack"
"ABR College of Engineering and Technology, [ABRCET] Prakasam"
"ABR College of Engineering and Technology, Prakasam"
"ABS Academy of Science Technology and Management, Bardhaman"
"ABS Academy of Science Technology and Management, Durgapur"
"ABSS Institue of Technology, [ABSSIT] Meerut"
"ABSS Institue of Technology, Meerut"
"ABSS Institute of Technology , Meerut"
"AC Patil College of Engineering, Navi Mumbai"
"Academy of Business Administration - [ABA], Balasore"
"Academy of Business Administration (ABA) , Orissa - Other"
"Academy of Business Administration, Balasore"
"Academy of Business Administration, Baleswar"
"Academy of Business Management Tourism and Research, [ABMTR] Bangalore"
"Academy of Business Management Tourism and Research, Bangalore"
"Academy of Business Management, Tourism & Research , Electronic City, Bangalore"
"Academy of Hospital Administration - [AHA], Noida"
"Academy of Management and Information Technology - [AMIT], Bhubaneswar"
"Academy of Management Professional Development - [AMPD], Thane"
"Academy of Management Studies - [AMS], Dehradun"
"Academy of Management Studies , Dehradun"
"Academy of Management Studies, Dehradun"
"Academy of Maritime Education and Training University - [AMET], Chennai"
"Academy of Maritime Education and Training University, [AMETU] Chennai"
"Academy of Technology & Management - [ATM], New Delhi"
"Academy of Technology & Management, [ATM] New Delhi"
"Accman Institute of Management - [ACCMANIM], Greater Noida"
"Accman Institute of Management, [ACCMANIM] Noida"
"ACCMAN Institute of Management, Greater Noida"
"Accord Business School - [ABS], Tirupati"
"Accord Business School, Tirupati"
"Accord Business School,[ABS] Tirupati"
"Accurate Institute of Advanced Management (AIAM) , Greater Noida"
"Accurate Institute of Advanced Management, Greater Noida"
"Accurate Institute of Management and Technology - [AIMT], Greater Noida"
"Accurate Institute of Management and Technology , Greater Noida"
"Accurate Institute of Management and Technology, Noida"
"Achariya Arts and Science College, Villianur"
"Achariya School of Business and Technology - [ASBT], Pondicherry"
"Achariya School of Business and Technology, Pondicherry"
"Achariya School Tourism and Hotel Management, Pondicherry"
"Acharya Bangalore B-School - [ABBS], Bangalore"
"Acharya Bangalore B-School (ABBS) , Magadi Road, Bangalore"
"Acharya Bangalore B-School, Bangalore"
"Acharya Institute Graduate Studies, Bangalore"
"Acharya Institute of Graduate Studies - [AIGS], Bangalore"
"Acharya Institute of Graduate Studies, [AIGS] Bangalore"
"Acharya Institute of Technology - [AIT], Bangalore"
"Acharya Institute of Technology (AIT Bangalore) , Dr. SR Road, Bangalore"
"Acharya Institute of Technology, [AIT] Bangalore"
"Acharya N.G. Ranga Agricultural University , Rajendra Nagar, Hyderabad"
"Acharya Nagarjuna University - [ANU], Guntur"
"Acharya Nagarjuna University (ANU) , Guntur"
"Acharya Nagarjuna University Center for Distance Education, [ANUCDE] Guntur"
"Acharya Nagarjuna University, [ANU] Guntur"
"Acharya Nagarjuna University, Centre For Distance Education - [ANUCDE], Guntur"
"Acharya Nagarjuna University, Guntur"
"Acharya NG Ranga Agricultural University - [ANGRAU], Hyderabad"
"Acharya NG Ranga Agricultural University, [ANGRAU] Hyderabad"
"Acharya Patashala College of Commerce, [APCC] Bangalore"
"Acharya School of Management - [ASM], Bangalore"
"Acharya School of Management , Hessarghatta Road, Bangalore"
"Acharya School of Management, [ASM] Bangalore"
"Acharya School of Management, Bangalore"
"Acharya Shri Chander College of Medical Sciences and Hospital, [ASCCOMSAH] Jammu"
"Acharya Shri Chander College of Medical Sciences and Hospital, Jammu"
"Acharya Tulsi National College of Commerce, [ATNCC] Shimoga"
"Acharya Tulsi National Commerce College, Shimoga"
"Acharya's Bangalore Business School, [ABBS] Bangalore"
Achievia Educations
"Achievia Educations , Paschim Vihar, Delhi"
"Acliv Technology & Management Academy - [ATMA], Bangalore"
"ACN College of Engineering and Management Studies (ACNCEMS) , Aligarh"
"ACN College of Engineering and Management Studies, [ACNCEMS] Aligarh"
"ACN College of Engineering and Management Studies, Aligarh"
